"site","date","fragmentation_level","centroid","ID","w","l","h","c","SA_cm","SA_ratio","ratio_c:l","Acropora","Astreopora","Montipora","Leptoseris","Pavona","Danafungia","Herpolitha","Lithophyllon","Astrea","Cyphastrea","Leptastrea","Acanthastrea","Lobophyllia","Pocillopora","Porites","Psammocora","Millepora","Plesiastrea"
"hilton","4/11/24","LM","5002","L64",49,90,36,232,7698.677886,33.1839564,0,0,0,2,0,4,0,0,0,0,0,0,0,0,6,10,2,0,0
"hilton","4/11/24","LM","5002","L65",35,48,35,120,4011.379368,33.4281614,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
"hilton","4/11/24","LM","5002","L66",33,44,26,122,2888.334007,23.67486891,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"hilton","4/11/24","LM","5002","L67",34,40,26,114,2750.860231,24.13035291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"hilton","4/11/24","LM","5002","L68",67,102,44,255,11473.60494,44.99452916,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0
"hilton","4/11/24","LM","5002","L69",60,76,60,210,11173.55935,53.20742547,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"hilton","4/11/24","LM","5002","L70",57,60,20,170,4286.55777,25.21504571,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,1,0,0
"hilton","4/11/24","LM","5002","L71",105,167,50,450,23743.85053,52.76411229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
"hilton","4/11/24","LM","5002","L72",36,58,32,133,4332.544359,32.57552149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"hilton","4/11/24","LM","5002","L73",85,89,37,245,10723.54607,43.76957581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0
"hilton","4/11/24","LM","5002","L74",47,83,34,213,6788.170109,31.86934324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0
"MRB_west","4/11/24","LM","6002","L75",105,127,83,390,27423.73562,70.31727081,0,2,0,26,0,9,0,0,0,2,0,0,0,0,4,20,14,0,1
"MRB_west","4/11/24","LM","6002","L76",45,48,40,165,5110.163359,30.97068702,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"MRB_west","4/11/24","LM","6002","L77",94,100,55,310,16115.5301,51.98558096,0,2,0,9,0,7,0,0,0,0,0,0,0,0,5,13,3,0,0
"MRB_west","4/11/24","LM","6002","L78",105,170,83,446,33796.87885,75.77775527,0,0,0,14,2,11,0,0,0,0,0,0,0,0,7,13,8,0,0
"MRB_west","4/11/24","LM","6002","L79",18,19,15,45,770.5266064,17.12281348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MRB_west","4/11/24","LM","6002","L80",25,15,20,50,1081.542887,21.63085774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MRB_west","4/11/24","LM","6002","L81",12,13,4,20,189.1872442,9.45936221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MRB_west","4/11/24","LM","6002","L82",42,20,50,140,4067.341948,29.05244249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MRB_west","4/11/24","LM","6002","L83",55,70,47,210,8281.909279,39.43766323,0,1,0,8,0,0,0,1,0,1,0,1,0,0,1,12,2,0,0
"MRB_west","4/11/24","AD","6002","A97",85,148,82,440,27339.96501,62.13628411,0,0,0,17,0,4,0,0,0,0,0,0,0,0,3,6,13,0,0
"MRB_west","4/11/24","AD","6002","A98",139,153,77,473,34704.31502,73.37064486,0,0,0,15,0,0,0,0,0,0,0,0,0,0,10,38,1,0,0
"MRB_west","4/11/24","AD","6002","A99",118,220,87,534,45302.00386,84.83521322,0,3,0,35,0,4,0,0,0,2,0,1,0,0,7,14,2,0,0
"MRB_west","4/11/24","AD","6002","A100",212,223,95,625,68123.43087,108.9974894,0,1,1,12,0,8,0,0,0,1,0,0,0,0,9,68,3,0,0
"MRB_west","4/11/24","AD","6002","A101",104,165,67,387,28160.46897,72.7660697,0,2,0,17,0,7,0,0,0,1,0,0,0,0,11,15,2,0,0
"MRB_west","4/11/24","AD","6002","A102",150,255,81,642,55148.81633,85.90158306,0,5,0,20,0,7,0,0,0,1,0,0,0,0,13,8,3,0,0
"MRB_west","4/11/24","AD","6002","A103",69,70,32,205,7190.357956,35.07491686,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,6,2,0,0
"MRB_west","4/11/24","AD","6002","A104",110,135,60,380,23217.9858,61.09996264,0,1,0,44,0,10,0,0,0,1,0,0,0,0,4,8,6,0,0
